Year,Week,State,Total_Cases,Outbreak_Duration
2011,1,Selangor,19,57
2011,1,Selangor,6,43
2011,1,Selangor,13,38
2011,1,WPKL,9,32
2011,1,Pahang,14,40
2011,2,Selangor,19,64
2011,2,Selangor,17,45
2011,2,Selangor,10,36
2011,2,Selangor,6,36
2011,2,Selangor,7,34
2011,2,Selangor,10,33
2011,2,WPKL,15,39
2011,2,WPKL,8,31
2011,2,Pahang,14,46
2011,2,Johor,19,36
2011,3,Selangor,19,52
2011,3,Selangor,13,40
2011,3,WPKL,12,46
2011,3,WPKL,8,38
2011,3,Johor,19,43
2011,3,Johor,8,35
2011,3,P.Pinang,6,30
2011,4,Selangor,26,59
2011,4,Selangor,16,47
2011,4,WPKL,13,53
2011,4,WPKL,8,45
2011,4,Johor,7,30
2011,4,Terengganu,17,36
2011,5,Selangor,28,66
2011,5,Selangor,19,54
2011,5,Selangor,4,33
2011,5,Selangor,7,32
2011,5,Selangor,6,30
2011,5,WPKL,14,60
2011,5,Terengganu,17,43
2011,6,Selangor,30,73
2011,6,Selangor,19,61
2011,6,Selangor,7,39
2011,6,Selangor,6,37
2011,6,Selangor,16,30
2011,6,Selangor,4,30
2011,6,WPKL,17,67
2011,6,Pahang,14,34
2011,7,Selangor,31,80
2011,7,Selangor,20,68
2011,7,Selangor,7,44
2011,7,Selangor,18,37
2011,7,Selangor,16,35
2011,7,WPKL,17,74
2011,7,Johor,4,31
2011,8,Selangor,32,87
2011,8,Selangor,20,75
2011,8,Selangor,9,51
2011,8,Selangor,23,44
2011,8,Selangor,16,42
2011,8,Selangor,5,31
2011,8,WPKL,17,81
2011,8,WPKL,9,31
2011,8,Johor,13,35
2011,9,Selangor,32,94
2011,9,Selangor,9,58
2011,9,Selangor,23,51
2011,9,Selangor,5,38
2011,9,Selangor,9,33
2011,9,WPKL,14,38
2011,9,Johor,13,42
2011,9,Perak,7,31
2011,10,Selangor,9,40
2011,10,WPKL,14,38
2011,11,Selangor,9,32
2011,11,Selangor,`,30
2011,11,WPKL,17,52
2011,12,Selangor,9,39
2011,12,Selangor,18,37
2011,12,Selangor,10,31
2011,12,Selangor,11,30
2011,12,Selangor,10,30
2011,12,Selangor,5,30
2011,12,WPKL,18,59
2011,12,WPKL,8,32
2011,13,Selangor,11,37
2011,13,Selangor,6,31
2011,13,WPKL,18,66
2011,13,WPKL,8,39
2011,17,Selangor,6,35
2011,17,Selangor,9,34
2011,18,Selangor,5,32
2011,18,Selangor,6,31
2011,18,WPKL,25,33
2011,19,Selangor,6,38
2011,19,Selangor,12,32
2011,19,Selangor,4,30
2011,19,WPKL,27,40
2011,19,WPKL,15,32
2011,19,WPKL,11,30
2011,20,Selangor,13,39
2011,20,Selangor,5,37
2011,20,WPKL,27,47
2011,20,WPKL,17,39
2011,20,WPKL,13,37
2011,21,Selangor,13,46
2011,21,Selangor,5,44
2011,21,Selangor,10,32
2011,21,WPKL,22,46
2011,21,WPKL,16,44
2011,21,WPKL,5,34
2011,22,WPKL,25,53
2011,22,WPKL,17,51
2011,22,WPKL,4,30
2011,24,Selangor,16,38
2011,24,Selangor,11,46
2011,24,Selangor,10,33
2011,24,Selangor,14,42
2011,24,Selangor,15,32
2011,24,Selangor,6,33
2011,24,Selangor,5,32
2011,24,Selangor,10,34
2011,24,WPKL,19,68
2011,24,WPKL,26,68
2011,24,WPKL,17,31
2011,24,WPKL,6,36
2011,25,Selangor,18,45
2011,25,Selangor,12,53
2011,25,Selangor,14,49
2011,25,Selangor,15,39
2011,25,Selangor,10,41
2011,25,WPKL,19,75
2011,25,WPKL,26,75
2011,25,WPKL,18,38
2011,27,Selangor,19,59
2011,27,Selangor,15,67
2011,27,Selangor,13,38
2011,27,Selangor,8,35
2011,27,Selangor,11,33
2011,27,Selangor,17,32
2011,27,WPKL,24,89
2011,27,Johor,19,33
2011,28,Selangor,8,42
2011,28,Selangor,13,40
2011,28,Selangor,17,39
2011,28,Selangor,7,34
2011,28,WPKL,25,96
2011,29,Selangor,20,69
2011,29,Selangor,11,37
2011,29,WPKL,25,103
2011,29,WPKL,10,38
2011,30,Selangor,15,54
2011,30,Selangor,7,31
2011,30,WPKL,10,45
2011,30,WPKL,5,33
2011,31,WPKL,10,52
2011,31,WPKL,5,40
2011,31,WPKL,23,37
2011,31,WPKL,21,34
2011,32,WPKL,25,44
2011,32,WPKL,24,41
2011,33,WPKL,25,51
2011,33,WPKL,28,48
2011,34,Selangor,7,31
2011,34,WPKL,29,55
2011,35,WPKL,29,62
2011,41,Selangor,10,33
2011,41,Selangor,4,32
2011,41,WPKL,11,37
2011,41,WPKL,9,34
2011,42,Selangor,10,40
2011,42,WPKL,11,44
2011,42,WPKL,9,41
2011,42,WPKL,17,34
2011,43,WPKL,21,41
2011,43,WPKL,16,35
2011,44,WPKL,22,48
2011,44,WPKL,20,42
2011,44,WPKL,13,31
2011,45,WPKL,22,55
2011,45,WPKL,20,49
2011,45,WPKL,18,38
2011,45,WPKL,5,32
2011,45,Selangor,4,32
2011,45,Selangor,8,33
2011,46,WPKL,21,56
2011,46,WPKL,20,45
2011,46,WPKL,4,37
2011,46,WPKL,8,31
2011,46,Selangor,9,40
2011,47,WPKL,23,63
2011,47,WPKL,22,52
2011,47,WPKL,10,36
2011,47,WPKL,8,38
2011,47,Selangor,9,47
2011,48,WPKL,22,70
2011,48,WPKL,22,59
2011,48,WPKL,12,43
2011,49,WPKL,23,66
2011,49,WPKL,12,50
2011,49,WPKL,9,32
2011,50,WPKL,23,73
2011,50,WPKL,9,39
2011,50,Selangor,16,32
2011,51,WPKL,11,46
2011,51,Selangor,16,39
2011,51,Selangor,5,31
2011,52,WPKL,11,53
2011,52,Selangor,9,31
2012,2,Selangor,5,35
2012,2,WPKL,13,37
2012,2,WPKL,8,31
2012,7,WPKL,5,34
2012,7,WPKL,8,31
2012,8,WPKL,13,37
2012,8,WPKL,5,32
2012,9,WPKL,13,44
2012,9,WPKL,5,39
2012,9,WPKL,8,35
2012,9,WPKL,5,31
2012,9,Selangor,7,31
2012,10,WPKL,6,38
2012,10,Selangor,7,38
2012,10,Selangor,6,37
2012,10,Selangor,4,32
2012,10,Selangor,4,31
2012,11,WPKL,9,45
2012,11,Selangor,6,44
2012,11,Selangor,6,31
2012,12,WPKL,16,52
2012,12,WPKL,6,35
2012,13,WPKL,16,59
2012,14,WPKL,4,32
2012,14,Selangor,10,31
2012,15,Selangor,10,38
